f00F,f00M,f05F,f05M,f13F,f13M,f25F,f25M,facF,facM,rotulo
636.00,631.00,253.00,248.00,146.00,151.00,667.00,72.00,884.00,74.00,0
89.00,88.00,16.00,12.00,16.00,12.00,69.00,19.00,90.00,21.00,0
21.00,13.00,8.00,14.00,11.00,11.00,21.00,6.00,33.00,8.00,0
53.00,53.00,26.00,29.00,22.00,19.00,37.00,2.00,91.00,7.00,0
20.00,29.00,13.00,11.00,20.00,15.00,28.00,3.00,55.00,2.00,0
178.00,176.00,33.00,39.00,68.00,71.00,159.00,41.00,173.00,44.00,0
359.00,362.00,214.00,209.00,85.00,92.00,394.00,60.00,535.00,63.00,0
89.00,87.00,45.00,49.00,30.00,27.00,120.00,13.00,134.00,14.00,0
540.00,550.00,332.00,335.00,242.00,247.00,422.00,127.00,1076.00,128.00,0
68.00,64.00,29.00,35.00,17.00,14.00,75.00,13.00,135.00,13.00,0
396.00,402.00,123.00,125.00,165.00,165.00,551.00,24.00,620.00,24.00,0
77.00,79.00,36.00,32.00,16.00,21.00,72.00,11.00,155.00,13.00,0
461.00,464.00,200.00,204.00,218.00,220.00,398.00,23.00,575.00,27.00,0
22.00,17.00,3.00,12.00,8.00,14.00,22.00,2.00,50.00,2.00,0
42.00,38.00,18.00,13.00,12.00,11.00,74.00,13.00,117.00,18.00,0
68.00,64.00,19.00,18.00,21.00,23.00,88.00,16.00,91.00,16.00,0
196.00,193.00,59.00,64.00,75.00,74.00,97.00,5.00,370.00,8.00,0
91.00,97.00,52.00,50.00,34.00,37.00,67.00,23.00,233.00,25.00,0
1386.00,1387.00,322.00,328.00,435.00,433.00,1463.00,286.00,2522.00,286.00,0
25.00,35.00,13.00,7.00,10.00,7.00,25.00,9.00,49.00,10.00,0
19.00,18.00,10.00,12.00,8.00,8.00,14.00,5.00,50.00,5.00,0
31.00,28.00,13.00,14.00,11.00,11.00,30.00,6.00,57.00,8.00,0
31.00,23.00,19.00,13.00,15.00,12.00,28.00,5.00,55.00,3.00,0
23.00,14.00,9.00,12.00,5.00,11.00,12.00,2.00,33.00,0.00,0
219.00,216.00,59.00,54.00,126.00,123.00,222.00,34.00,431.00,37.00,0
102.00,106.00,80.00,79.00,75.00,75.00,206.00,36.00,223.00,36.00,0
134.00,130.00,43.00,38.00,50.00,54.00,63.00,33.00,173.00,31.00,0
106.00,114.00,48.00,52.00,27.00,32.00,143.00,15.00,161.00,15.00,0
218.00,212.00,77.00,79.00,42.00,39.00,106.00,28.00,348.00,28.00,0
41.00,49.00,30.00,30.00,32.00,30.00,93.00,12.00,123.00,12.00,0
508.00,507.00,143.00,138.00,236.00,230.00,365.00,56.00,650.00,61.00,0
58.00,59.00,24.00,24.00,17.00,17.00,60.00,15.00,95.00,16.00,0
56.00,52.00,7.00,12.00,9.00,7.00,33.00,7.00,55.00,9.00,0
68.00,65.00,26.00,30.00,28.00,29.00,46.00,9.00,49.00,12.00,0
148.00,157.00,36.00,44.00,50.00,48.00,199.00,39.00,272.00,36.00,0
60.00,64.00,21.00,23.00,14.00,20.00,70.00,10.00,80.00,10.00,0
224.00,228.00,85.00,82.00,49.00,56.00,89.00,14.00,218.00,18.00,0
51.00,61.00,17.00,18.00,15.00,15.00,48.00,8.00,51.00,8.00,0
16.00,21.00,3.00,4.00,6.00,9.00,7.00,1.00,33.00,6.00,0
365.00,359.00,139.00,142.00,85.00,87.00,136.00,44.00,400.00,42.00,0
2.00,9.00,1.00,2.00,1.00,1.00,7.00,0.00,9.00,1.00,0
157.00,159.00,39.00,40.00,80.00,78.00,167.00,29.00,289.00,31.00,0
140.00,145.00,61.00,60.00,96.00,92.00,173.00,27.00,400.00,28.00,0
36.00,41.00,22.00,27.00,27.00,27.00,52.00,12.00,63.00,16.00,0
870.00,879.00,242.00,243.00,348.00,351.00,1197.00,176.00,1727.00,178.00,0
48.00,45.00,16.00,19.00,12.00,19.00,14.00,6.00,44.00,6.00,0
101.00,106.00,40.00,43.00,30.00,30.00,126.00,8.00,263.00,12.00,0
5.00,14.00,5.00,5.00,9.00,4.00,8.00,1.00,18.00,3.00,0
139.00,143.00,70.00,71.00,56.00,58.00,60.00,27.00,157.00,29.00,0
49.00,51.00,16.00,13.00,29.00,32.00,62.00,3.00,126.00,5.00,0
458.00,464.00,307.00,313.00,177.00,179.00,551.00,157.00,611.00,160.00,0
211.00,211.00,45.00,47.00,34.00,36.00,226.00,7.00,234.00,8.00,0
171.00,168.00,94.00,90.00,79.00,80.00,225.00,48.00,227.00,49.00,0
266.00,270.00,145.00,150.00,128.00,128.00,185.00,53.00,674.00,56.00,0
45.00,38.00,13.00,20.00,16.00,23.00,33.00,10.00,51.00,13.00,0
122.00,118.00,20.00,16.00,38.00,39.00,39.00,5.00,153.00,5.00,0
175.00,172.00,74.00,72.00,110.00,113.00,185.00,13.00,247.00,12.00,0
415.00,411.00,251.00,255.00,134.00,139.00,226.00,53.00,745.00,56.00,0
27.00,27.00,7.00,10.00,17.00,14.00,35.00,1.00,75.00,2.00,0
100.00,100.00,84.00,80.00,80.00,83.00,232.00,7.00,319.00,9.00,0
93.00,89.00,36.00,41.00,31.00,29.00,38.00,22.00,113.00,25.00,0
82.00,86.00,20.00,17.00,23.00,29.00,81.00,17.00,84.00,20.00,0
141.00,146.00,76.00,79.00,68.00,63.00,91.00,14.00,194.00,17.00,0
426.00,424.00,259.00,255.00,368.00,369.00,1104.00,90.00,1116.00,90.00,0
251.00,251.00,105.00,105.00,53.00,49.00,212.00,51.00,385.00,54.00,0
72.00,72.00,16.00,17.00,34.00,38.00,50.00,3.00,168.00,2.00,0
112.00,113.00,21.00,15.00,38.00,45.00,54.00,20.00,96.00,17.00,0
67.00,63.00,15.00,17.00,17.00,21.00,23.00,7.00,99.00,6.00,0
99.00,95.00,37.00,43.00,17.00,19.00,41.00,23.00,101.00,23.00,0
100.00,103.00,38.00,36.00,18.00,18.00,146.00,24.00,153.00,22.00,0
311.00,308.00,218.00,219.00,146.00,142.00,374.00,88.00,746.00,88.00,0
37.00,41.00,32.00,31.00,13.00,10.00,47.00,16.00,127.00,18.00,0
14.00,15.00,5.00,10.00,1.00,7.00,15.00,3.00,18.00,4.00,0
497.00,493.00,103.00,99.00,183.00,184.00,409.00,100.00,791.00,98.00,0
27.00,22.00,6.00,11.00,11.00,8.00,17.00,3.00,20.00,4.00,0
109.00,107.00,29.00,30.00,55.00,60.00,48.00,4.00,148.00,4.00,0
16.00,23.00,7.00,12.00,3.00,4.00,26.00,0.00,38.00,2.00,0
359.00,352.00,260.00,257.00,194.00,197.00,386.00,76.00,657.00,76.00,0
225.00,217.00,61.00,65.00,116.00,120.00,196.00,67.00,243.00,67.00,0
71.00,74.00,34.00,39.00,35.00,40.00,28.00,15.00,99.00,15.00,0
300.00,301.00,116.00,118.00,102.00,107.00,260.00,22.00,492.00,23.00,0
122.00,120.00,59.00,60.00,45.00,42.00,57.00,36.00,209.00,39.00,0
153.00,148.00,40.00,45.00,52.00,50.00,122.00,13.00,213.00,11.00,0
207.00,199.00,105.00,100.00,132.00,128.00,176.00,72.00,370.00,75.00,0
11.00,18.00,6.00,2.00,5.00,3.00,8.00,3.00,33.00,3.00,0
10.00,14.00,5.00,4.00,2.00,4.00,10.00,2.00,17.00,1.00,0
155.00,150.00,82.00,79.00,77.00,72.00,126.00,22.00,206.00,22.00,0
20.00,28.00,8.00,13.00,6.00,11.00,25.00,4.00,53.00,2.00,0
19.00,14.00,2.00,5.00,1.00,3.00,8.00,1.00,30.00,2.00,0
281.00,281.00,127.00,126.00,92.00,92.00,166.00,62.00,331.00,66.00,0
467.00,463.00,103.00,100.00,75.00,78.00,362.00,25.00,723.00,29.00,0
56.00,52.00,20.00,21.00,22.00,27.00,56.00,15.00,214.00,16.00,0
29.00,27.00,18.00,18.00,14.00,12.00,20.00,7.00,76.00,5.00,0
68.00,74.00,9.00,14.00,24.00,29.00,51.00,13.00,64.00,10.00,0
55.00,60.00,16.00,19.00,29.00,33.00,48.00,13.00,101.00,16.00,0
100.00,99.00,39.00,38.00,34.00,37.00,88.00,18.00,119.00,21.00,0
107.00,101.00,44.00,51.00,35.00,42.00,118.00,17.00,139.00,15.00,0
4.00,8.00,0.00,3.00,0.00,4.00,5.00,0.00,8.00,3.00,0
236.00,231.00,132.00,127.00,78.00,76.00,248.00,16.00,295.00,20.00,0
57.00,57.00,30.00,25.00,25.00,25.00,41.00,2.00,73.00,1.00,0
102.00,107.00,43.00,46.00,38.00,35.00,143.00,14.00,157.00,17.00,0
1163.00,1157.00,367.00,372.00,383.00,386.00,564.00,267.00,1818.00,267.00,0
106.00,101.00,36.00,32.00,39.00,44.00,50.00,21.00,79.00,19.00,0
365.00,373.00,87.00,83.00,93.00,93.00,264.00,82.00,554.00,79.00,0
31.00,25.00,8.00,7.00,17.00,12.00,25.00,0.00,52.00,2.00,0
81.00,85.00,26.00,22.00,32.00,38.00,88.00,26.00,141.00,24.00,0
466.00,469.00,237.00,236.00,209.00,208.00,329.00,96.00,655.00,96.00,0
140.00,139.00,96.00,96.00,60.00,65.00,254.00,16.00,336.00,19.00,0
13.00,12.00,4.00,8.00,9.00,8.00,24.00,3.00,36.00,1.00,0
806.00,800.00,374.00,378.00,338.00,336.00,380.00,49.00,1382.00,51.00,0
16.00,17.00,7.00,5.00,10.00,10.00,10.00,3.00,37.00,7.00,0
107.00,107.00,101.00,98.00,54.00,49.00,156.00,11.00,164.00,11.00,0
107.00,114.00,21.00,18.00,27.00,30.00,74.00,10.00,92.00,14.00,0
45.00,48.00,22.00,24.00,19.00,19.00,37.00,13.00,41.00,10.00,0
90.00,85.00,18.00,16.00,38.00,33.00,73.00,4.00,86.00,2.00,0
58.00,63.00,21.00,26.00,15.00,20.00,39.00,13.00,90.00,13.00,0
32.00,37.00,6.00,8.00,12.00,11.00,47.00,0.00,61.00,3.00,0
150.00,144.00,84.00,79.00,35.00,38.00,288.00,41.00,337.00,38.00,0
293.00,301.00,63.00,69.00,109.00,115.00,156.00,21.00,439.00,26.00,0
139.00,135.00,48.00,48.00,37.00,35.00,61.00,19.00,195.00,17.00,0
667.00,674.00,282.00,276.00,231.00,226.00,1454.00,277.00,1922.00,279.00,0
128.00,126.00,62.00,57.00,21.00,28.00,117.00,9.00,143.00,7.00,0
9.00,15.00,3.00,6.00,6.00,4.00,20.00,4.00,26.00,3.00,0
10.00,19.00,0.00,5.00,5.00,8.00,11.00,0.00,16.00,3.00,0
8.00,7.00,3.00,7.00,0.00,7.00,10.00,3.00,12.00,1.00,0
51.00,48.00,35.00,33.00,28.00,29.00,84.00,5.00,117.00,4.00,0
232.00,227.00,58.00,56.00,134.00,140.00,175.00,77.00,621.00,75.00,0
81.00,81.00,16.00,18.00,21.00,23.00,75.00,5.00,103.00,8.00,0
77.00,82.00,51.00,49.00,21.00,21.00,74.00,24.00,131.00,26.00,0
182.00,187.00,65.00,61.00,82.00,81.00,208.00,7.00,251.00,8.00,0
29.00,28.00,9.00,6.00,14.00,12.00,24.00,8.00,63.00,7.00,0
14.00,22.00,5.00,6.00,5.00,3.00,10.00,1.00,25.00,5.00,0
37.00,46.00,33.00,34.00,40.00,42.00,44.00,10.00,88.00,10.00,0
11.00,17.00,6.00,2.00,6.00,4.00,17.00,0.00,22.00,0.00,0
121.00,129.00,118.00,122.00,96.00,97.00,302.00,56.00,372.00,57.00,0
26.00,23.00,12.00,9.00,5.00,4.00,32.00,0.00,36.00,4.00,0
6.00,3.00,5.00,0.00,3.00,2.00,3.00,0.00,8.00,2.00,0
1096.00,1090.00,296.00,291.00,634.00,636.00,739.00,304.00,2835.00,303.00,0
41.00,36.00,12.00,17.00,10.00,9.00,49.00,3.00,90.00,1.00,0
169.00,170.00,78.00,79.00,73.00,71.00,84.00,20.00,252.00,24.00,0
156.00,161.00,52.00,48.00,74.00,71.00,137.00,36.00,393.00,34.00,0
109.00,107.00,33.00,32.00,42.00,45.00,57.00,25.00,119.00,25.00,0
64.00,67.00,15.00,21.00,7.00,13.00,29.00,2.00,113.00,6.00,0
109.00,105.00,36.00,36.00,50.00,53.00,128.00,18.00,456.00,20.00,0
245.00,255.00,121.00,122.00,67.00,70.00,342.00,59.00,415.00,62.00,0
0.00,4.00,4.00,0.00,2.00,0.00,3.00,0.00,6.00,2.00,0
138.00,140.00,87.00,82.00,74.00,74.00,261.00,20.00,266.00,23.00,0
272.00,278.00,60.00,62.00,107.00,101.00,311.00,21.00,399.00,21.00,0
126.00,121.00,35.00,34.00,38.00,38.00,90.00,6.00,188.00,5.00,0
215.00,221.00,56.00,55.00,70.00,66.00,131.00,37.00,304.00,38.00,0
23.00,30.00,10.00,10.00,22.00,26.00,65.00,7.00,86.00,5.00,0
9.00,16.00,4.00,0.00,7.00,4.00,7.00,0.00,11.00,3.00,0
677.00,682.00,135.00,134.00,214.00,217.00,520.00,66.00,1110.00,64.00,0
210.00,204.00,69.00,75.00,63.00,57.00,307.00,71.00,350.00,68.00,0
133.00,137.00,75.00,81.00,73.00,70.00,314.00,43.00,374.00,45.00,0
37.00,39.00,7.00,7.00,13.00,13.00,31.00,4.00,32.00,6.00,0
28.00,37.00,18.00,22.00,10.00,8.00,43.00,6.00,44.00,4.00,0
92.00,98.00,59.00,58.00,35.00,39.00,151.00,11.00,232.00,13.00,0
44.00,49.00,18.00,24.00,26.00,26.00,27.00,14.00,62.00,12.00,0
38.00,44.00,12.00,11.00,15.00,19.00,24.00,7.00,80.00,9.00,0
37.00,33.00,14.00,9.00,9.00,5.00,40.00,5.00,61.00,5.00,0
163.00,164.00,59.00,62.00,59.00,60.00,120.00,6.00,328.00,4.00,0
54.00,58.00,19.00,20.00,16.00,23.00,62.00,8.00,75.00,9.00,0
18.00,20.00,8.00,8.00,5.00,9.00,14.00,3.00,35.00,5.00,0
180.00,173.00,65.00,61.00,56.00,65.00,253.00,9.00,297.00,12.00,0
26.00,23.00,17.00,14.00,8.00,6.00,23.00,7.00,80.00,10.00,0
14.00,10.00,7.00,5.00,4.00,6.00,17.00,1.00,28.00,3.00,0
10.00,18.00,4.00,9.00,9.00,6.00,10.00,4.00,13.00,4.00,0
70.00,71.00,29.00,34.00,29.00,26.00,71.00,12.00,149.00,15.00,0
223.00,224.00,91.00,90.00,47.00,46.00,207.00,33.00,345.00,35.00,0
23.00,19.00,2.00,9.00,8.00,2.00,33.00,3.00,33.00,5.00,0
15.00,21.00,3.00,8.00,8.00,8.00,17.00,1.00,46.00,5.00,0
43.00,45.00,25.00,18.00,24.00,29.00,29.00,7.00,86.00,9.00,0
57.00,66.00,18.00,18.00,38.00,44.00,70.00,4.00,90.00,1.00,0
44.00,48.00,19.00,16.00,25.00,24.00,43.00,10.00,131.00,13.00,0
28.00,34.00,13.00,9.00,11.00,15.00,38.00,5.00,40.00,5.00,0
114.00,108.00,62.00,59.00,94.00,91.00,210.00,11.00,319.00,9.00,0
228.00,224.00,90.00,92.00,36.00,34.00,122.00,19.00,399.00,22.00,0
123.00,116.00,35.00,40.00,40.00,47.00,49.00,4.00,109.00,6.00,0
20.00,26.00,13.00,11.00,14.00,14.00,22.00,5.00,56.00,4.00,0
606.00,611.00,162.00,161.00,164.00,167.00,331.00,38.00,1114.00,42.00,0
31.00,36.00,19.00,16.00,7.00,7.00,57.00,4.00,64.00,7.00,0
90.00,90.00,35.00,41.00,18.00,24.00,72.00,5.00,87.00,9.00,0
22.00,26.00,3.00,6.00,8.00,3.00,8.00,3.00,23.00,3.00,0
66.00,67.00,25.00,22.00,41.00,47.00,62.00,21.00,77.00,25.00,0
25.00,22.00,1.00,8.00,10.00,5.00,15.00,5.00,16.00,4.00,0
104.00,101.00,20.00,25.00,34.00,32.00,82.00,9.00,184.00,8.00,0
146.00,145.00,65.00,64.00,73.00,70.00,139.00,26.00,236.00,25.00,0
83.00,78.00,21.00,21.00,37.00,33.00,71.00,21.00,161.00,23.00,0
11.00,15.00,7.00,6.00,5.00,9.00,28.00,4.00,31.00,2.00,0
123.00,129.00,65.00,60.00,74.00,76.00,106.00,21.00,195.00,20.00,0
34.00,29.00,7.00,4.00,2.00,7.00,27.00,7.00,45.00,6.00,0
23.00,13.00,7.00,2.00,4.00,6.00,18.00,6.00,22.00,6.00,0
20.00,28.00,3.00,9.00,10.00,10.00,21.00,5.00,33.00,6.00,0
39.00,49.00,10.00,5.00,20.00,14.00,24.00,8.00,33.00,10.00,0
176.00,170.00,63.00,62.00,58.00,58.00,226.00,23.00,271.00,20.00,0
172.00,168.00,77.00,83.00,99.00,101.00,151.00,27.00,599.00,27.00,0
741.00,731.00,224.00,229.00,249.00,249.00,300.00,38.00,1056.00,35.00,0
53.00,54.00,23.00,25.00,25.00,24.00,56.00,7.00,72.00,5.00,0
237.00,229.00,73.00,76.00,70.00,75.00,232.00,67.00,308.00,72.00,0
1093.00,1099.00,935.00,939.00,564.00,569.00,1669.00,104.00,3987.00,106.00,0
2.00,10.00,1.00,1.00,0.00,3.00,3.00,0.00,12.00,1.00,0
39.00,39.00,12.00,16.00,13.00,15.00,32.00,6.00,64.00,5.00,0
138.00,137.00,63.00,61.00,28.00,25.00,55.00,24.00,145.00,25.00,0
216.00,213.00,44.00,40.00,78.00,77.00,141.00,56.00,274.00,53.00,0
49.00,50.00,23.00,18.00,7.00,11.00,61.00,5.00,87.00,2.00,0
103.00,99.00,26.00,24.00,20.00,20.00,67.00,11.00,247.00,13.00,0
32.00,26.00,17.00,12.00,8.00,11.00,38.00,1.00,53.00,1.00,0
55.00,53.00,20.00,18.00,9.00,12.00,43.00,12.00,78.00,10.00,0
0.00,11.00,1.00,3.00,6.00,0.00,6.00,3.00,10.00,1.00,0
30.00,25.00,12.00,9.00,8.00,7.00,23.00,5.00,42.00,7.00,0
23.00,28.00,8.00,14.00,9.00,6.00,28.00,5.00,40.00,4.00,0
15.00,22.00,5.00,8.00,10.00,17.00,28.00,5.00,37.00,8.00,0
220.00,214.00,100.00,97.00,69.00,75.00,131.00,40.00,205.00,41.00,0
75.00,79.00,12.00,18.00,40.00,41.00,26.00,16.00,107.00,19.00,0
115.00,107.00,35.00,30.00,61.00,56.00,169.00,5.00,297.00,9.00,0
98.00,91.00,24.00,31.00,25.00,27.00,86.00,18.00,88.00,15.00,0
73.00,66.00,17.00,20.00,39.00,38.00,45.00,16.00,93.00,20.00,0
93.00,92.00,38.00,41.00,35.00,33.00,111.00,18.00,120.00,19.00,0
12.00,18.00,12.00,9.00,3.00,5.00,22.00,5.00,36.00,5.00,0
187.00,191.00,61.00,61.00,46.00,46.00,103.00,8.00,383.00,7.00,0
2964.00,2960.00,2496.00,2502.00,1662.00,1665.00,4409.00,616.00,6880.00,616.00,0
7.00,11.00,2.00,5.00,3.00,6.00,9.00,3.00,21.00,2.00,0
4.00,12.00,1.00,9.00,9.00,4.00,3.00,3.00,18.00,1.00,0
74.00,73.00,18.00,21.00,34.00,30.00,42.00,15.00,99.00,13.00,0
35.00,38.00,23.00,20.00,21.00,23.00,36.00,3.00,60.00,2.00,0
61.00,59.00,17.00,13.00,33.00,40.00,39.00,15.00,143.00,15.00,0
280.00,273.00,120.00,114.00,136.00,136.00,352.00,19.00,494.00,19.00,0
195.00,189.00,56.00,61.00,53.00,53.00,183.00,16.00,246.00,16.00,0
331.00,325.00,129.00,124.00,92.00,92.00,403.00,55.00,403.00,55.00,0
23.00,27.00,5.00,9.00,9.00,7.00,21.00,5.00,39.00,3.00,0
101.00,108.00,25.00,30.00,58.00,61.00,74.00,25.00,250.00,23.00,0
202.00,209.00,31.00,37.00,46.00,42.00,198.00,14.00,278.00,17.00,0
64.00,58.00,17.00,21.00,14.00,18.00,69.00,3.00,101.00,4.00,0
59.00,62.00,33.00,38.00,37.00,37.00,115.00,12.00,139.00,16.00,0
34.00,29.00,19.00,16.00,11.00,12.00,59.00,12.00,70.00,11.00,0
20.00,13.00,4.00,4.00,7.00,7.00,18.00,1.00,27.00,4.00,0
15.00,19.00,4.00,9.00,8.00,7.00,15.00,3.00,36.00,3.00,0
29.00,33.00,7.00,5.00,17.00,15.00,15.00,7.00,35.00,5.00,0
19.00,17.00,6.00,1.00,3.00,7.00,11.00,4.00,15.00,4.00,0
132.00,139.00,47.00,50.00,40.00,44.00,64.00,14.00,113.00,12.00,0
59.00,65.00,18.00,21.00,28.00,32.00,34.00,15.00,99.00,12.00,0
34.00,39.00,15.00,18.00,27.00,27.00,55.00,11.00,110.00,14.00,0
25.00,29.00,14.00,9.00,6.00,7.00,29.00,1.00,48.00,1.00,0
141.00,142.00,49.00,51.00,48.00,54.00,73.00,19.00,146.00,18.00,0
20.00,15.00,10.00,10.00,7.00,11.00,27.00,4.00,31.00,7.00,0
61.00,58.00,10.00,15.00,28.00,26.00,55.00,2.00,84.00,1.00,0
22.00,18.00,10.00,12.00,10.00,11.00,13.00,4.00,23.00,2.00,0
2.00,11.00,1.00,2.00,2.00,2.00,4.00,0.00,16.00,2.00,0
65.00,61.00,36.00,40.00,39.00,34.00,53.00,11.00,135.00,11.00,0
152.00,152.00,67.00,67.00,93.00,92.00,139.00,26.00,200.00,24.00,0
43.00,40.00,18.00,15.00,9.00,15.00,19.00,10.00,48.00,10.00,0
12.00,9.00,4.00,0.00,5.00,3.00,3.00,3.00,9.00,0.00,0
114.00,116.00,54.00,58.00,81.00,76.00,208.00,46.00,264.00,47.00,0
92.00,86.00,62.00,60.00,45.00,50.00,150.00,20.00,194.00,18.00,0
31.00,24.00,7.00,4.00,7.00,13.00,16.00,3.00,59.00,2.00,0
19.00,11.00,11.00,5.00,9.00,8.00,8.00,3.00,34.00,0.00,0
452.00,448.00,94.00,98.00,123.00,124.00,437.00,90.00,779.00,89.00,0
30.00,32.00,10.00,13.00,19.00,21.00,29.00,5.00,65.00,6.00,0
67.00,70.00,33.00,36.00,18.00,20.00,63.00,8.00,135.00,11.00,0
100.00,97.00,48.00,44.00,26.00,21.00,124.00,16.00,196.00,16.00,0
52.00,58.00,18.00,24.00,31.00,38.00,79.00,11.00,93.00,15.00,0
201.00,195.00,90.00,91.00,123.00,129.00,114.00,69.00,366.00,68.00,0
69.00,75.00,34.00,37.00,16.00,13.00,33.00,7.00,70.00,4.00,0
108.00,102.00,27.00,23.00,38.00,34.00,46.00,15.00,102.00,12.00,0
26.00,22.00,15.00,12.00,16.00,20.00,26.00,6.00,59.00,4.00,0
215.00,219.00,98.00,102.00,82.00,87.00,201.00,38.00,445.00,41.00,0
44.00,44.00,11.00,8.00,11.00,10.00,30.00,10.00,71.00,9.00,0
16.00,8.00,5.00,8.00,10.00,5.00,8.00,3.00,26.00,3.00,0
401.00,395.00,119.00,121.00,95.00,90.00,221.00,34.00,427.00,34.00,0
98.00,103.00,31.00,35.00,33.00,38.00,107.00,10.00,186.00,10.00,0
147.00,146.00,42.00,39.00,66.00,63.00,127.00,27.00,199.00,30.00,0
264.00,260.00,125.00,123.00,107.00,105.00,155.00,29.00,205.00,31.00,0
105.00,108.00,62.00,59.00,23.00,26.00,80.00,28.00,210.00,31.00,0
137.00,140.00,59.00,55.00,24.00,25.00,175.00,36.00,217.00,34.00,0
39.00,41.00,21.00,21.00,17.00,13.00,54.00,5.00,69.00,4.00,0
51.00,49.00,16.00,19.00,30.00,27.00,69.00,4.00,118.00,1.00,0
60.00,59.00,23.00,25.00,17.00,15.00,23.00,15.00,92.00,14.00,0
200.00,194.00,105.00,108.00,66.00,60.00,131.00,39.00,220.00,42.00,0
228.00,235.00,77.00,82.00,83.00,83.00,367.00,57.00,375.00,55.00,0
12.00,18.00,4.00,9.00,5.00,7.00,13.00,1.00,40.00,4.00,0
279.00,281.00,80.00,83.00,178.00,173.00,411.00,115.00,672.00,115.00,0
441.00,444.00,146.00,148.00,118.00,114.00,466.00,65.00,595.00,67.00,0
217.00,218.00,71.00,68.00,41.00,45.00,208.00,13.00,231.00,12.00,0
111.00,113.00,40.00,45.00,51.00,50.00,79.00,7.00,94.00,10.00,0
